06.06.2025                                                            Dynamic List Display                                                                                                                      1


	/BIC/MD_EMP	OBJVERS	CHANGED	/BIC/MD_EMP_P	/BIC/MD_EM_SN	/BIC/MD_EM_PS	/BIC/MD_EM_SD	/BIC/MD_EM_BD	/BIC/MD_EM_EM	/BIC/MD_PH	/BIC/MD_EM_GN	/BIC/MD_DP_GR
	       0164	A		         0186	    305522471	PRODUCTION TECHNICIAN - WC20	13.03.2003	06.05.1980	JOHN2@ADVENTURE-WORKS.COM	201-555-0163	M	           01
	       0165	A		         0092	    260770918	DOCUMENT CONTROL ASSISTANT	13.03.2003	25.01.1970	KAREN0@ADVENTURE-WORKS.COM	746-555-0164	F	           02
	       0166	A		         0018	    788456780	PRODUCTION TECHNICIAN - WC60	14.03.2003	01.09.1978	JOSE0@ADVENTURE-WORKS.COM	587-555-0115	M	           01
	       0167	A		         0076	    370581729	PRODUCTION TECHNICIAN - WC50	14.03.2003	21.04.1980	MANDAR0@ADVENTURE-WORKS.COM	140-555-0132	M	           01
	       0168	A		         0278	    603686790	BUYER	14.03.2003	18.09.1978	MIKAEL0@ADVENTURE-WORKS.COM	309-555-0170	M	           02
	       0169	A		         0076	    152085091	PRODUCTION TECHNICIAN - WC50	15.03.2003	27.07.1972	SAMEER0@ADVENTURE-WORKS.COM	990-555-0172	M	           01
	       0170	A		         0142	    663843431	ACCOUNTS PAYABLE SPECIALIST	15.03.2003	18.03.1971	DRAGAN0@ADVENTURE-WORKS.COM	117-555-0185	M	           02
	       0171	A		         0177	    227319668	PRODUCTION TECHNICIAN - WC30	16.03.2003	18.11.1982	CAROL0@ADVENTURE-WORKS.COM	609-555-0153	F	           01
	       0172	A		         0089	    578953538	PRODUCTION TECHNICIAN - WC40	17.03.2003	05.09.1967	ROB1@ADVENTURE-WORKS.COM	238-555-0116	M	           01
	       0173	A		         0040	    222400012	PRODUCTION TECHNICIAN - WC50	17.03.2003	14.07.1965	DON0@ADVENTURE-WORKS.COM	100-555-0174	M	           01
	       0174	A		         0046	    470689086	SCHEDULING ASSISTANT	17.03.2003	30.04.1978	ALAN0@ADVENTURE-WORKS.COM	438-555-0172	M	           02
	       0175	A		         0188	    860123571	PRODUCTION TECHNICIAN - WC30	18.03.2003	25.10.1979	DAVID7@ADVENTURE-WORKS.COM	118-555-0177	M	           01
	       0176	A		         0089	    273260055	PRODUCTION TECHNICIAN - WC40	19.03.2003	07.11.1984	BARIS0@ADVENTURE-WORKS.COM	164-555-0114	M	           01
	       0177	A		         0023	    578935259	PRODUCTION SUPERVISOR - WC30	19.03.2003	02.03.1983	MICHAEL3@ADVENTURE-WORKS.COM	156-555-0199	M	           02
	       0178	A		         0020	    752513276	PRODUCTION TECHNICIAN - WC60	19.03.2003	07.05.1985	STEVE0@ADVENTURE-WORKS.COM	712-555-0170	M	           01
	       0179	A		         0018	    754372876	PRODUCTION TECHNICIAN - WC60	20.03.2003	11.07.1981	SUCHITRA0@ADVENTURE-WORKS.COM	753-555-0129	F	           01
	       0180	A		         0044	    058317344	APPLICATION SPECIALIST	20.03.2003	19.06.1972	KAREN1@ADVENTURE-WORKS.COM	654-555-0177	F	           02
	       0181	A		         0147	    404159499	PRODUCTION TECHNICIAN - WC20	20.03.2003	09.01.1979	TERRENCE0@ADVENTURE-WORKS.COM	110-555-0115	M	           01
	       0182	A		         0142	    363910111	ACCOUNTANT	22.03.2003	04.02.1970	BARBARA1@ADVENTURE-WORKS.COM	822-555-0145	F	           02
	       0183	A		         0040	    599942664	PRODUCTION TECHNICIAN - WC50	22.03.2003	04.09.1984	CHAD0@ADVENTURE-WORKS.COM	559-555-0175	M	           01
	       0184	A		         0138	    993310268	PRODUCTION TECHNICIAN - WC30	23.03.2003	15.10.1971	ROSTISLAV0@ADVENTURE-WORKS.COM	751-555-0134	M	           01
	       0185	A		         0201	    020244403	PRODUCTION TECHNICIAN - WC45	24.03.2003	19.10.1963	BELINDA0@ADVENTURE-WORKS.COM	319-555-0126	F	           01
	       0186	A		         0023	    862951447	PRODUCTION SUPERVISOR - WC20	24.03.2003	20.12.1978	KATIE0@ADVENTURE-WORKS.COM	809-555-0133	F	           02
	       0187	A		         0188	    551346974	PRODUCTION TECHNICIAN - WC30	25.03.2003	14.03.1976	RUSSELL1@ADVENTURE-WORKS.COM	517-555-0122	M	           01
	       0188	A		         0023	    060114406	PRODUCTION SUPERVISOR - WC30	25.03.2003	23.07.1977	JACK0@ADVENTURE-WORKS.COM	552-555-0111	M	           02
	       0189	A		         0023	    033237992	PRODUCTION SUPERVISOR - WC10	26.03.2003	08.10.1982	ANDREW0@ADVENTURE-WORKS.COM	908-555-0159	M	           02
	       0190	A		         0089	    001300049	PRODUCTION TECHNICIAN - WC40	26.03.2003	10.05.1980	NICOLE0@ADVENTURE-WORKS.COM	508-555-0129	F	           01
	       0191	A		         0016	    010708100	PRODUCTION TECHNICIAN - WC50	27.03.2003	24.08.1965	FRANK1@ADVENTURE-WORKS.COM	167-555-0139	M	           01
	       0192	A		         0154	    672243793	NETWORK ADMINISTRATOR	27.03.2003	29.06.1974	PETER1@ADVENTURE-WORKS.COM	310-555-0133	M	           02
	       0193	A		         0111	    063761469	PRODUCTION TECHNICIAN - WC20	27.03.2003	06.10.1968	ANIBAL0@ADVENTURE-WORKS.COM	106-555-0120	F	           01
	       0194	A		         0214	    693168613	PRODUCTION TECHNICIAN - WC40	28.03.2003	29.06.1975	KEN1@ADVENTURE-WORKS.COM	949-555-0174	M	           01
	       0195	A		         0032	    476980013	HUMAN RESOURCES ADMINISTRATIVE ASSISTANT	29.03.2003	18.05.1970	GRANT0@ADVENTURE-WORKS.COM	955-555-0131	M	           02
	       0196	A		         0040	    334834274	PRODUCTION TECHNICIAN - WC50	29.03.2003	17.07.1983	MICHAEL4@ADVENTURE-WORKS.COM	817-555-0186	M	           01
	       0197	A		         0163	    399658727	PRODUCTION TECHNICIAN - WC45	30.03.2003	15.04.1982	LIONEL0@ADVENTURE-WORKS.COM	450-555-0152	M	           01
	       0198	A		         0009	    500412746	PRODUCTION TECHNICIAN - WC60	30.03.2003	11.02.1980	THOMAS0@ADVENTURE-WORKS.COM	278-555-0118	M	           01
	       0199	A		         0087	    652779496	STOCKER	30.03.2003	05.06.1979	JIMMY0@ADVENTURE-WORKS.COM	927-555-0168	M	           01
	       0200	A		         0138	    878395493	PRODUCTION TECHNICIAN - WC30	30.03.2003	19.10.1976	MICHAEL5@ADVENTURE-WORKS.COM	296-555-0121	M	           01
	       0201	A		         0023	    332349500	PRODUCTION SUPERVISOR - WC45	30.03.2003	19.08.1974	LORI0@ADVENTURE-WORKS.COM	289-555-0196	F	           02
	       0202	A		         0278	    792847334	BUYER	01.04.2003	21.09.1968	ARVIND0@ADVENTURE-WORKS.COM	848-555-0163	M	           02
	       0203	A		         0186	    621932914	PRODUCTION TECHNICIAN - WC20	01.04.2003	21.01.1970	STEFEN0@ADVENTURE-WORKS.COM	165-555-0113	M	           01
	       0204	A		         0023	    398223854	QUALITY ASSURANCE MANAGER	01.04.2003	27.11.1971	HAZEM0@ADVENTURE-WORKS.COM	869-555-0125	M	           02
	       0205	A		         0142	    519756660	ACCOUNTS PAYABLE SPECIALIST	02.04.2003	09.04.1973	JANET0@ADVENTURE-WORKS.COM	393-555-0186	F	           02
	       0206	A		         0076	    912141525	PRODUCTION TECHNICIAN - WC50	03.04.2003	26.02.1984	ELIZABETH0@ADVENTURE-WORKS.COM	318-555-0137	F	           01
	       0207	A		         0007	    243322160	MARKETING SPECIALIST	03.04.2003	07.03.1980	TERRY0@ADVENTURE-WORKS.COM	138-555-0118	M	           02
	       0208	A		         0188	    568626529	PRODUCTION TECHNICIAN - WC30	04.04.2003	24.04.1976	JOHN3@ADVENTURE-WORKS.COM	663-555-0172	M	           01
	       0209	A		         0177	    301435199	PRODUCTION TECHNICIAN - WC30	04.04.2003	13.06.1977	MERAV0@ADVENTURE-WORKS.COM	224-555-0187	F	           01
	       0210	A		         0046	    368691270	SCHEDULING ASSISTANT	04.04.2003	12.09.1978	BRIAN1@ADVENTURE-WORKS.COM	313-555-0196	M	           02
	       0211	A		         0040	    211789056	PRODUCTION TECHNICIAN - WC50	05.04.2003	07.07.1981	KITTI0@ADVENTURE-WORKS.COM	785-555-0132	F	           01
	       0212	A		         0020	    063179277	PRODUCTION TECHNICIAN - WC60	06.04.2003	14.03.1970	JAY0@ADVENTURE-WORKS.COM	407-555-0165	M	           01
	       0213	A		         0188	    587567941	PRODUCTION TECHNICIAN - WC30	06.04.2003	16.12.1968	JAN0@ADVENTURE-WORKS.COM	139-555-0131	M	           01
	       0214	A		         0023	    634335025	PRODUCTION SUPERVISOR - WC40	06.04.2003	31.03.1977	BRENDA0@ADVENTURE-WORKS.COM	142-555-0139	F	           02
	       0215	A		         0126	    065848458	PRODUCTION TECHNICIAN - WC45	07.04.2003	26.10.1982	ANDREW1@ADVENTURE-WORKS.COM	207-555-0192	M	           01
	       0216	A		         0092	    260805477	CONTROL SPECIALIST	07.04.2003	26.06.1981	CHRIS1@ADVENTURE-WORKS.COM	575-555-0126	M	           02
	       0217	A		         0018	    442121106	PRODUCTION TECHNICIAN - WC60	08.04.2003	07.09.1980	CHRIS2@ADVENTURE-WORKS.COM	315-555-0144	M	           01
	       0218	A		         0147	    300946911	PRODUCTION TECHNICIAN - WC20	08.04.2003	08.01.1981	SHELLEY0@ADVENTURE-WORKS.COM	991-555-0184	F	           01
	       0219	A		         0214	    440379437	PRODUCTION TECHNICIAN - WC40	09.04.2003	11.06.1982	GABE0@ADVENTURE-WORKS.COM	310-555-0117	M	           01
	       0220	A		         0142	    480951955	ACCOUNTANT	09.04.2003	01.08.1973	MIKE0@ADVENTURE-WORKS.COM	927-555-0150	M	           02
	       0221	A		         0162	    879342154	RESEARCH AND DEVELOPMENT MANAGER	04.06.2003	01.01.1979	MICHAEL6@ADVENTURE-WORKS.COM	330-555-2568	M	           02
	       0222	A		         0152	    141165819	FACILITIES MANAGER	03.01.2004	21.03.1965	GARY1@ADVENTURE-WORKS.COM	110-555-0112	M	           02
	       0223	A		         0020	    537092325	PRODUCTION TECHNICIAN - WC60	04.01.2004	03.10.1965	CHARLES0@ADVENTURE-WORKS.COM	931-555-0118	M	           01
	       0224	A		         0027	    455563743	PRODUCTION TECHNICIAN - WC10	07.01.2004	23.10.1980	EBRU0@ADVENTURE-WORKS.COM	202-555-0187	M	           01
	       0225	A		         0111	    701156975	PRODUCTION TECHNICIAN - WC20	12.01.2004	13.12.1964	SYLVESTER0@ADVENTURE-WORKS.COM	492-555-0174	M	           01
	       0226	A		         0053	    001662732	PRODUCTION TECHNICIAN - WC40	12.01.2004	23.01.1965	BRIAN2@ADVENTURE-WORKS.COM	730-555-0117	M	           01
	       0227	A		         0278	    407505660	BUYER	18.01.2004	31.12.1964	LINDA2@ADVENTURE-WORKS.COM	916-555-0165	F	           02
	       0228	A		         0066	    294148271	PRODUCTION TECHNICIAN - WC10	19.01.2004	17.01.1937	BETSY0@ADVENTURE-WORKS.COM	405-555-0171	F	           01
	       0229	A		         0222	    552560652	FACILITIES ADMINISTRATIVE ASSISTANT	22.01.2004	27.09.1965	MAGNUS0@ADVENTURE-WORKS.COM	583-555-0182	M	           02
	       0230	A		         0020	    834186596	PRODUCTION TECHNICIAN - WC60	23.01.2004	07.04.1964	KARAN0@ADVENTURE-WORKS.COM	447-555-0186	M	           01
	       0231	A		         0027	    717889520	PRODUCTION TECHNICIAN - WC10	26.01.2004	20.10.1980	MARY1@ADVENTURE-WORKS.COM	283-555-0185	F	           01
	       0232	A		         0027	    801365500	PRODUCTION TECHNICIAN - WC10	26.01.2004	20.10.1980	KEVIN2@ADVENTURE-WORKS.COM	555-555-0113	M	           01
	       0233	A		         0053	    413787783	PRODUCTION TECHNICIAN - WC40	30.01.2004	09.04.1965	MIHAIL0@ADVENTURE-WORKS.COM	733-555-0128	M	           01
	       0234	A		         0189	    109272464	PRODUCTION TECHNICIAN - WC10	02.02.2004	11.10.1980	BONNIE0@ADVENTURE-WORKS.COM	264-555-0150	F	           01
	       0235	A		         0278	    482810518	BUYER	05.02.2004	25.12.1964	FUKIKO0@ADVENTURE-WORKS.COM	520-555-0177	M	           02
	       0236	A		         0111	    113393530	PRODUCTION TECHNICIAN - WC20	07.02.2004	23.11.1965	HUNG-FU0@ADVENTURE-WORKS.COM	497-555-0181	M	           01
	       0237	A		         0278	    466142721	BUYER	12.02.2004	30.12.1936	GORDON0@ADVENTURE-WORKS.COM	230-555-0144	M	           02
	       0238	A		         0066	    390124815	PRODUCTION TECHNICIAN - WC10	13.02.2004	14.10.1980	KIMBERLY0@ADVENTURE-WORKS.COM	123-555-0167	F	           01
	       0239	A		         0018	    006298838	PRODUCTION TECHNICIAN - WC60	17.02.2004	14.01.1937	KIM1@ADVENTURE-WORKS.COM	208-555-0114	F	           01
	       0240	A		         0053	    943170460	PRODUCTION TECHNICIAN - WC40	18.02.2004	03.01.1965	SANDEEP0@ADVENTURE-WORKS.COM	166-555-0156	M	           01
	       0241	A		         0111	    339233463	PRODUCTION TECHNICIAN - WC20	23.02.2004	01.06.1947	PRASANNA0@ADVENTURE-WORKS.COM	129-555-0199	M	           01
	       0242	A		         0278	    367453993	BUYER	24.02.2004	13.06.1946	FRANK2@ADVENTURE-WORKS.COM	163-555-0147	M	           02
	       0243	A		         0111	    872923042	PRODUCTION TECHNICIAN - WC20	25.02.2004	11.10.1968	MIN0@ADVENTURE-WORKS.COM	590-555-0152	M	           01
	       0244	A		         0053	    697712387	PRODUCTION TECHNICIAN - WC40	25.02.2004	08.01.1937	ERIC1@ADVENTURE-WORKS.COM	680-555-0118	M	           01
	       0245	A		         0278	    381073001	BUYER	28.02.2004	19.10.1966	ERIC2@ADVENTURE-WORKS.COM	265-555-0195	M	           02
	       0246	A		         0051	    646304055	JANITOR	28.02.2004	03.01.1965	PAT0@ADVENTURE-WORKS.COM	720-555-0158	M	           01
	       0247	A		         0020	    414476027	PRODUCTION TECHNICIAN - WC60	01.03.2004	02.03.1949	MACIEJ0@ADVENTURE-WORKS.COM	237-555-0128	M	           01
	       0248	A		         0278	    785853949	BUYER	03.03.2004	04.02.1965	ERIN0@ADVENTURE-WORKS.COM	842-555-0158	F	           02
	       0249	A		         0066	    090888098	PRODUCTION TECHNICIAN - WC10	04.03.2004	11.10.1980	PATRICK0@ADVENTURE-WORKS.COM	413-555-0124	M	           01
	       0250	A		         0053	    947029962	PRODUCTION TECHNICIAN - WC40	08.03.2004	03.04.1946	FRANK3@ADVENTURE-WORKS.COM	203-555-0196	M	           01
	       0251	A		         0018	    461786517	PRODUCTION TECHNICIAN - WC60	08.03.2004	12.10.1965	ED0@ADVENTURE-WORKS.COM	919-555-0140	M	           01
	       0252	A		         0027	    393421437	PRODUCTION TECHNICIAN - WC10	11.03.2004	01.11.1980	CHRISTOPHER0@ADVENTURE-WORKS.COM	153-555-0166	M	           01
	       0253	A		         0053	    988315686	PRODUCTION TECHNICIAN - WC40	15.03.2004	24.01.1968	PATRICK1@ADVENTURE-WORKS.COM	425-555-0117	M	           01
	       0254	A		         0111	    056772045	PRODUCTION TECHNICIAN - WC20	16.03.2004	06.10.1965	KRISHNA0@ADVENTURE-WORKS.COM	491-555-0183	M	           01
	       0255	A		         0051	    879334904	JANITOR	19.03.2004	31.08.1964	LORI1@ADVENTURE-WORKS.COM	295-555-0161	F	           01
	       0256	A		         0066	    082638150	PRODUCTION TECHNICIAN - WC10	23.03.2004	08.10.1980	DANIELLE0@ADVENTURE-WORKS.COM	500-555-0172	F	           01
	       0257	A		         0043	    343861179	QUALITY ASSURANCE TECHNICIAN	26.03.2004	05.01.1937	SOOTHA0@ADVENTURE-WORKS.COM	325-555-0137	M	           02
	       0258	A		         0020	    582347317	PRODUCTION TECHNICIAN - WC60	26.03.2004	07.10.1967	MICHAEL7@ADVENTURE-WORKS.COM	582-555-0148	M	           01
	       0259	A		         0020	    008066363	PRODUCTION TECHNICIAN - WC60	26.03.2004	29.05.1964	RANDY0@ADVENTURE-WORKS.COM	961-555-0122	M	           01
	       0260	A		         0027	    561196580	PRODUCTION TECHNICIAN - WC10	30.03.2004	29.10.1980	JOHN4@ADVENTURE-WORKS.COM	254-555-0114	M	           01
	       0261	A		         0053	    058791499	PRODUCTION TECHNICIAN - WC40	03.04.2004	30.09.1967	JACK1@ADVENTURE-WORKS.COM	521-555-0113	M	           01
	       0262	A		         0111	    163347032	PRODUCTION TECHNICIAN - WC20	04.04.2004	05.05.1964	OLINDA0@ADVENTURE-WORKS.COM	306-555-0186	F	           01
	       0263	A		         0051	    028414965	JANITOR	05.04.2004	17.01.1966	STUART1@ADVENTURE-WORKS.COM	539-555-0149	M	           01
	       0264	A		         0051	    153479919	JANITOR	07.04.2004	25.05.1948	JO1@ADVENTURE-WORKS.COM	228-555-0159	F	           01
	       0265	A		         0278	    020269531	BUYER	09.04.2004	05.07.1967	BEN0@ADVENTURE-WORKS.COM	151-555-0113	M	           02
	       0266	A		         0066	    826454897	PRODUCTION TECHNICIAN - WC10	10.04.2004	01.11.1980	TOM0@ADVENTURE-WORKS.COM	295-555-0161	M	           01
	       0267	A		         0003	    974026903	SENIOR TOOL DESIGNER	05.01.2005	18.02.1972	OVIDIU0@ADVENTURE-WORKS.COM	719-555-0181	M	           02
	       0268	A		         0278	    437296311	PURCHASING ASSISTANT	06.01.2005	01.03.1972	ANNETTE0@ADVENTURE-WORKS.COM	125-555-0196	F	           02
	       0269	A		         0267	    486228782	TOOL DESIGNER	23.01.2005	29.06.1983	JANICE0@ADVENTURE-WORKS.COM	473-555-0117	F	           02
	       0270	A		         0278	    280633567	PURCHASING ASSISTANT	25.01.2005	18.02.1972	REINOUT0@ADVENTURE-WORKS.COM	370-555-0163	M	           02
	       0271	A		         0003	    042487730	SENIOR DESIGN ENGINEER	30.01.2005	17.07.1973	MICHAEL8@ADVENTURE-WORKS.COM	465-555-0156	M	           02
	       0272	A		         0277	    502097814	NORTH AMERICAN SALES MANAGER	04.02.2005	17.11.1945	STEPHEN0@ADVENTURE-WORKS.COM	238-555-0197	M	           02
	       0273	A		         0007	    323403273	MARKETING ASSISTANT	07.02.2005	17.04.1969	WANIDA0@ADVENTURE-WORKS.COM	708-555-0141	F	           02
	       0274	A		         0003	    056920285	DESIGN ENGINEER	18.02.2005	03.06.1955	SHARON0@ADVENTURE-WORKS.COM	970-555-0138	F	           02
	       0275	A		         0007	    222969461	MARKETING SPECIALIST	10.03.2005	06.04.1972	JOHN5@ADVENTURE-WORKS.COM	486-555-0150	M	           02
	       0276	A		         0007	    052541318	MARKETING ASSISTANT	17.03.2005	01.03.1972	MARY2@ADVENTURE-WORKS.COM	124-555-0114	F	           02
	       0277	A		         0112	    112432117	VICE PRESIDENT OF SALES	18.03.2005	08.07.1971	BRIAN3@ADVENTURE-WORKS.COM	716-555-0127	M	           02
	       0278	A		         0073	    895209680	PURCHASING MANAGER	28.03.2005	13.03.1972	SHEELA0@ADVENTURE-WORKS.COM	210-555-0193	F	           02
	       0279	A		         0073	    895209680	PURCHASING MANAGER	28.03.2005	13.03.1972	SHEELA0@ADVENTURE-WORKS.COM	210-555-0193	F	           02
	       0280	A		         0073	    895209680	PURCHASING MANAGER	28.03.2005	13.03.1972	SHEELA0@ADVENTURE-WORKS.COM	210-555-0193	F	           02
	       0281	A		         0272	    841560125	SALES REPRESENTATIVE	01.07.2005	26.01.1963	MICHAEL9@ADVENTURE-WORKS.COM	257-555-0154	M	           02
	       0282	A		         0272	    191644724	SALES REPRESENTATIVE	01.07.2005	30.03.1974	LINDA3@ADVENTURE-WORKS.COM	883-555-0116	F	           02
	       0283	A		         0272	    615389812	SALES REPRESENTATIVE	01.07.2005	29.09.1956	JILLIAN0@ADVENTURE-WORKS.COM	517-555-0117	F	           02
	       0284	A		         0272	    234474252	SALES REPRESENTATIVE	01.07.2005	07.03.1969	GARRETT1@ADVENTURE-WORKS.COM	922-555-0165	M	           02
	       0285	A		         0272	    716374314	SALES REPRESENTATIVE	01.07.2005	19.02.1968	TSVI0@ADVENTURE-WORKS.COM	664-555-0112	M	           02
	       0286	A		         0272	    061161660	SALES REPRESENTATIVE	01.07.2005	06.01.1969	PAMELA0@ADVENTURE-WORKS.COM	340-555-0193	F	           02
	       0287	A		         0272	    139397894	SALES REPRESENTATIVE	01.07.2005	10.04.1938	SHU0@ADVENTURE-WORKS.COM	330-555-0120	M	           02
	       0288	A		         0272	    399771412	SALES REPRESENTATIVE	01.07.2005	11.01.1934	JOS?1@ADVENTURE-WORKS.COM	185-555-0169	M	           02
	       0289	A		         0272	    987554265	SALES REPRESENTATIVE	01.07.2005	14.03.1968	DAVID8@ADVENTURE-WORKS.COM	740-555-0182	M	           02
	       0290	A		         0277	    982310417	EUROPEAN SALES MANAGER	18.05.2006	22.10.1951	AMY0@ADVENTURE-WORKS.COM	775-555-0164	F	           02
	       0291	A		         0290	    668991357	SALES REPRESENTATIVE	01.07.2006	18.04.1962	JAE0@ADVENTURE-WORKS.COM	1 (11) 500 555-0145	F	           02
	       0292	A		         0290	    134219713	SALES REPRESENTATIVE	01.07.2006	31.10.1969	RANJIT0@ADVENTURE-WORKS.COM	1 (11) 500 555-0117	M	           02
	       0293	A		         0272	    090836195	SALES REPRESENTATIVE	01.11.2006	06.02.1972	TETE0@ADVENTURE-WORKS.COM	615-555-0153	M	           02
	       0294	A		         0277	    481044938	PACIFIC SALES MANAGER	15.04.2007	11.02.1969	SYED0@ADVENTURE-WORKS.COM	926-555-0182	M	           02
	       0295	A		         0290	    954276278	SALES REPRESENTATIVE	01.07.2007	09.08.1969	RACHEL0@ADVENTURE-WORKS.COM	1 (11) 500 555-0140	F	           02
	       0296	A		         0294	    758596752	SALES REPRESENTATIVE	01.07.2007	18.04.1965	LYNN0@ADVENTURE-WORKS.COM	1 (11) 500 555-0190	F	           02
