06.06.2025                                                                                  Dynamic List Display                                                                                                                                           1


	/BIC/MD_CUS	OBJVERS	CHANGED	/BIC/MD_C_ALT	/BIC/MD_EM_BD	/BIC/MD_CU_MS	/BIC/MD_EM_GN	/BIC/MD_EM_EM	/BIC/MD_CU_YI	/BIC/MD_CU_ED	/BIC/MD_CU_OC	/BIC/MD_CU_HO	/BIC/MD_CU_NC	/BIC/MD_AD	/BIC/MD_PH
	      13651	A		AW00013651	06.09.1971	M	M	JERRY10@ADVENTURE-WORKS.COM	 120.000,000	PARTIAL HIGH SCHOOL	MANAGEMENT	        00001	           4	9177 CONCORD ROYALE	1 (11) 500 555-0138
	      13652	A		AW00013652	25.08.1941	M	F	TAMARA11@ADVENTURE-WORKS.COM	  90.000,000	BACHELORS	MANAGEMENT	        00001	           2	5243 MIGUEL DRIVE	818-555-0163
	      13653	A		AW00013653	25.03.1941	M	M	TONY18@ADVENTURE-WORKS.COM	  90.000,000	BACHELORS	MANAGEMENT	        00001	           2	6007 CONCORD PL.	253-555-0173
	      13654	A		AW00013654	05.02.1941	M	M	SHAWN15@ADVENTURE-WORKS.COM	 100.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           3	233 WATERVIEW TERR.	116-555-0136
	      13655	A		AW00013655	03.01.1941	M	M	CHRISTOPHER23@ADVENTURE-WORKS.COM	 100.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           3	7646 H STAGECOACH RD	102-555-0150
	      13656	A		AW00013656	25.04.1941	M	F	FAITH30@ADVENTURE-WORKS.COM	 110.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           2	8071 DAYLIGHT PLACE	116-555-0173
	      13657	A		AW00013657	15.03.1941	S	F	KAYLEE22@ADVENTURE-WORKS.COM	 110.000,000	GRADUATE DEGREE	MANAGEMENT	        00001	           2	4755 EASLEY DRIVE	169-555-0199
	      13658	A		AW00013658	13.03.1941	M	M	WYATT53@ADVENTURE-WORKS.COM	 130.000,000	BACHELORS	MANAGEMENT	        00001	           4	9928 STINSON	198-555-0197
	      13659	A		AW00013659	18.10.1941	M	M	CLAYTON28@ADVENTURE-WORKS.COM	 130.000,000	BACHELORS	MANAGEMENT	        00001	           4	6709 PRESTWICK AVE	396-555-0111
	      13660	A		AW00013660	09.03.1942	M	M	ETHAN37@ADVENTURE-WORKS.COM	  70.000,000	BACHELORS	MANAGEMENT	        00001	           2	4054 BRECK COURT	225-555-0119
	      13661	A		AW00013661	07.11.1975	M	M	ANDRE10@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           0	3186 CONCORD CT.	1 (11) 500 555-0195
	      13662	A		AW00013662	24.11.1974	S	M	MIGUEL39@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00001	           2	80, AVENUE DES CHAMPS-ELYS?ES	1 (11) 500 555-0193
	      13663	A		AW00013663	06.08.1973	S	M	MELVIN4@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	REHSTR 6446	1 (11) 500 555-0195
	      13664	A		AW00013664	10.02.1973	S	M	LARRY4@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	8036 WEAVER LANE	1 (11) 500 555-0145
	      13665	A		AW00013665	18.02.1973	M	F	KRISTI28@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	7320 BLOCHING CIRCLE	1 (11) 500 555-0118
	      13666	A		AW00013666	17.07.1973	S	F	TERESA3@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	NOLLENDORFPLATZ 58888	1 (11) 500 555-0166
	      13667	A		AW00013667	11.05.1973	S	M	ANDRES0@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	37, PLACE DE FONTENOY	1 (11) 500 555-0152
	      13668	A		AW00013668	07.10.1963	M	M	STANLEY19@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           2	1288 VISTA DEL RIO	1 (11) 500 555-0191
	      13669	A		AW00013669	03.03.1963	M	F	KRISTY12@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00001	           2	3675 Q ST.	1 (11) 500 555-0129
	      13670	A		AW00013670	27.09.1963	S	F	BRITTNEY21@ADVENTURE-WORKS.COM	  60.000,000	BACHELORS	PROFESSIONAL	        00000	           2	9389 FERN LEAF LANE	1 (11) 500 555-0144
	      13671	A		AW00013671	07.02.1974	S	M	FRANK25@ADVENTURE-WORKS.COM	  30.000,000	PARTIAL COLLEGE	CLERICAL	        00000	           1	CARLSPLATZ 43	1 (11) 500 555-0146
	      13672	A		AW00013672	07.06.1980	S	M	BENJAMIN39@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	11, QUAI DE L? ITON	1 (11) 500 555-0110
	      13673	A		AW00013673	13.11.1980	S	F	SANDRA26@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	9, AVENUE REILLE	1 (11) 500 555-0142
	      13674	A		AW00013674	13.01.1980	S	M	DREW2@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00001	           2	401, RUE DE CAMBRAI	1 (11) 500 555-0169
	      13675	A		AW00013675	09.04.1980	S	M	STANLEY6@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	3704 PANORAMIC DRIVE	1 (11) 500 555-0118
	      13676	A		AW00013676	17.07.1980	M	M	GEORGE7@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	4613 BENEDICT COURT	1 (11) 500 555-0189
	      13677	A		AW00013677	28.03.1978	S	F	BRIAN35@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00000	           1	HEIDERWEG 4624	1 (11) 500 555-0119
	      13678	A		AW00013678	25.06.1974	M	M	WARREN9@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           0	9236 WOODLAND DRIVE	1 (11) 500 555-0186
	      13679	A		AW00013679	03.02.1974	M	F	SANDRA9@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           0	1102 GEARY CT	1 (11) 500 555-0163
	      13680	A		AW00013680	17.11.1974	M	F	JAN4@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           0	37 AMARANTH WAY	1 (11) 500 555-0155
	      13681	A		AW00013681	18.11.1973	S	M	ADAM51@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00001	           1	91, RUE DE LA CAVALERIE	1 (11) 500 555-0110
	      13682	A		AW00013682	25.04.1973	S	M	FERNANDO27@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00000	           1	K?NIGSTR 27	1 (11) 500 555-0110
	      13683	A		AW00013683	03.12.1973	S	F	SHEILA12@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00000	           1	POSTFACH 55 99 99	1 (11) 500 555-0169
	      13684	A		AW00013684	14.05.1972	S	M	FRANCIS10@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	AM KARLSHOF 8	1 (11) 500 555-0126
	      13685	A		AW00013685	16.02.1973	M	F	BRIANA11@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           0	K?NIGSTR 873	1 (11) 500 555-0188
	      13686	A		AW00013686	14.10.1973	M	M	PETER17@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           1	HUNZINGER ALLEE 153	1 (11) 500 555-0113
	      13687	A		AW00013687	18.08.1973	M	M	MARIO2@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	SKILLED MANUAL	        00001	           1	1339 W. HOOKSTON ROAD	1 (11) 500 555-0174
	      13688	A		AW00013688	19.06.1973	S	M	RUBEN21@ADVENTURE-WORKS.COM	  50.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	5828 CLARK CREEK LANE	1 (11) 500 555-0160
	      13689	A		AW00013689	21.04.1973	S	F	TERESA18@ADVENTURE-WORKS.COM	  50.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	3883 KIRKWOOD DR	1 (11) 500 555-0113
	      13690	A		AW00013690	17.02.1972	S	F	CLAUDIA13@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	4179 GREEN ST.	1 (11) 500 555-0179
	      13691	A		AW00013691	22.10.1972	S	F	ARIANA14@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           0	1936 BALANCE CT	1 (11) 500 555-0138
	      13692	A		AW00013692	21.10.1972	M	M	CURTIS3@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00000	           0	9879 HEDARO COURT	1 (11) 500 555-0136
	      13693	A		AW00013693	06.02.1971	S	M	DOMINIC19@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	3817 GREEN HILL RD.	1 (11) 500 555-0110
	      13694	A		AW00013694	14.12.1971	S	F	SAVANNAH4@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00001	           1	9617 PHEASANT CT	1 (11) 500 555-0190
	      13695	A		AW00013695	23.04.1971	S	M	CHRISTIAN38@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00000	           1	762, PLACE DU TERTRE	1 (11) 500 555-0150
	      13696	A		AW00013696	15.11.1971	S	F	KATHERINE50@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	ZOLLSTR 62	1 (11) 500 555-0172
	      13697	A		AW00013697	24.06.1971	S	M	J?SUS6@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	AM GALLBERG 222	1 (11) 500 555-0197
	      13698	A		AW00013698	02.10.1970	S	F	CATHERINE21@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	VIKTORIA-LUISE-PLATZ 45	1 (11) 500 555-0180
	      13699	A		AW00013699	22.01.1975	S	F	RACHEL67@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           0	7429 LA CADENA	114-555-0156
	      13700	A		AW00013700	03.03.1975	S	M	EVAN12@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	1506 NEWTON WAY	852-555-0157
	      13701	A		AW00013701	23.11.1974	S	F	HALEY51@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	2905 LIMERIDGE DRIVE	384-555-0163
	      13702	A		AW00013702	16.06.1974	S	F	JESSIE38@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	431 RIVERSIDE DRIVE	226-555-0116
	      13703	A		AW00013703	04.06.1974	S	F	MACKENZIE2@ADVENTURE-WORKS.COM	  30.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	6606 THISTLE CIRCLE	257-555-0122
	      13704	A		AW00013704	10.09.1974	S	F	VICTORIA6@ADVENTURE-WORKS.COM	  30.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	9512 SUN VIEW COURT	355-555-0177
	      13705	A		AW00013705	12.08.1974	S	M	BLAKE38@ADVENTURE-WORKS.COM	  30.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	6441 KATHLEEN DRIVE	126-555-0148
	      13706	A		AW00013706	16.06.1975	S	F	KAITLYN61@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           2	7537 KASKI LANE	942-555-0153
	      13707	A		AW00013707	19.11.1975	M	M	AUSTIN39@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00000	           1	5287 GEARY ROAD	802-555-0119
	      13708	A		AW00013708	03.04.1966	S	F	JENNIFER76@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	7769 HOLTON COURT	101-555-0128
	      13709	A		AW00013709	14.08.1966	S	M	ZACHARY49@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	8964 MILLS DR.	489-555-0170
	      13710	A		AW00013710	14.07.1966	S	F	DESTINY13@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	3142 BROADWAY ST.	923-555-0137
	      13711	A		AW00013711	01.08.1966	S	M	THOMAS48@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	378 CANYON ROAD	948-555-0140
	      13712	A		AW00013712	02.07.1966	S	F	NANCY21@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	5477 LIMEWOOD PLACE	162-555-0168
	      13713	A		AW00013713	06.02.1966	S	M	ALEXANDER10@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	8587 GLENSIDE CT.	640-555-0117
	      13714	A		AW00013714	18.07.1953	M	F	AMANDA12@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	MANUAL	        00000	           2	8251 N. 447TH ST.	736-555-0119
	      13715	A		AW00013715	25.06.1953	M	M	EDUARDO84@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	SKILLED MANUAL	        00001	           1	952 NORMAN AVE.	482-555-0136
	      13716	A		AW00013716	13.06.1953	M	M	BRANDON28@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	SKILLED MANUAL	        00001	           1	1736 CANYON RD	444-555-0138
	      13717	A		AW00013717	13.07.1953	M	F	AUDREY15@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	SKILLED MANUAL	        00001	           1	5989 CONCORD AVE	208-555-0186
	      13718	A		AW00013718	24.08.1953	M	M	MARCUS52@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	SKILLED MANUAL	        00001	           1	7861 SILVERADO DR.	890-555-0111
	      13719	A		AW00013719	27.11.1954	M	M	ISAAC32@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	4864 A ST.	804-555-0164
	      13720	A		AW00013720	19.09.1954	M	M	CAMERON43@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           2	2733 DEL MAR AVE.	393-555-0165
	      13721	A		AW00013721	12.04.1954	S	M	LUCAS83@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL HIGH SCHOOL	CLERICAL	        00001	           2	4750 BAY VIEW DR.	102-555-0126
	      13722	A		AW00013722	24.12.1954	M	M	LUKE38@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	MANUAL	        00001	           1	6594 JEFFERSON ST.	908-555-0194
	      13723	A		AW00013723	06.08.1954	M	M	LEONARD15@ADVENTURE-WORKS.COM	  30.000,000	HIGH SCHOOL	CLERICAL	        00001	           1	3675 PALMS DR	346-555-0178
	      13724	A		AW00013724	11.02.1954	M	M	CHARLES19@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	5455 VIA ROMERO	647-555-0123
	      13725	A		AW00013725	08.10.1954	M	M	NATHAN1@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	4721 CASHEW LANE	460-555-0156
	      13726	A		AW00013726	04.07.1954	M	M	AUSTIN36@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	5840 FALCON DR.	764-555-0170
	      13727	A		AW00013727	08.04.1955	M	F	PAULA22@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	1011 YOLANDA CIRCLE	200-555-0116
	      13728	A		AW00013728	26.08.1955	M	F	TAYLOR1@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	8678 SIERRA DRIVE	158-555-0169
	      13729	A		AW00013729	10.10.1955	M	M	JASON24@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	7527 BROOK WAY	952-555-0172
	      13730	A		AW00013730	25.12.1955	M	M	WALTER12@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	6155 BUCKTHORN COURT	187-555-0115
	      13731	A		AW00013731	18.04.1955	S	F	JAN6@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	7168 BELMONT	606-555-0142
	      13732	A		AW00013732	08.04.1955	S	F	JULIAN0@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	1011 YOLANDA CIRCLE	658-555-0153
	      13733	A		AW00013733	21.09.1956	M	F	SYDNEY46@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	8127 VISTA DEL RIO	119-555-0140
	      13734	A		AW00013734	09.07.1956	M	F	KRISTI36@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	2627 HOLIDAY HILLS DRIVE	350-555-0125
	      13735	A		AW00013735	07.05.1956	M	M	DENNIS19@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	7433 SAN SIMEON CT.	666-555-0181
	      13736	A		AW00013736	24.01.1956	M	M	COLE17@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	9145 PASO DEL RIO WAY	846-555-0175
	      13737	A		AW00013737	24.11.1956	M	M	GARRETT7@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	8243 ATRICE LANE	170-555-0119
	      13738	A		AW00013738	25.03.1956	M	M	JOSE53@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	1893 CRANBROOK WAY	430-555-0186
	      13739	A		AW00013739	15.08.1956	M	M	JASON3@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	6985 COUNTRYWOOD CT	850-555-0191
	      13740	A		AW00013740	07.10.1957	M	F	JADA3@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	9055 CALAFIA AVE	518-555-0124
	      13741	A		AW00013741	19.10.1957	M	F	HALEY4@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	306 WINTER DRIVE	116-555-0121
	      13742	A		AW00013742	20.10.1957	M	M	BENJAMIN5@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	9256 SANTA FE STREET	112-555-0135
	      13743	A		AW00013743	22.10.1957	M	F	ISABELLA65@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	3746 VIA ROMERO	139-555-0156
	      13744	A		AW00013744	12.10.1957	M	M	ALVIN35@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	2583 CYPRESS AVE.	983-555-0121
	      13745	A		AW00013745	28.01.1957	M	M	ANDREW25@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	6387 SCENIC AVENUE	731-555-0172
	      13746	A		AW00013746	24.02.1957	M	F	JANELLE7@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	5165 HALFMOON COURT	304-555-0181
	      13747	A		AW00013747	11.10.1957	M	M	BRIAN16@ADVENTURE-WORKS.COM	  40.000,000	PARTIAL COLLEGE	CLERICAL	        00001	           1	9870 SANTA MARIA CT.	327-555-0133
	      13748	A		AW00013748	10.04.1958	M	M	JOS?79@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	3539 CORTE POQUITO	351-555-0188
	      13749	A		AW00013749	22.09.1958	M	M	JULIO8@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	8945 EUCLID AVE.	175-555-0196
	      13750	A		AW00013750	03.06.1958	M	M	RAYMOND7@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	8569 W ST.	340-555-0120
	      13751	A		AW00013751	19.09.1958	S	F	ALLISON16@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	7224 WREN AVENUE	187-555-0150
	      13752	A		AW00013752	12.03.1958	S	F	ISABELLA38@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	5131 ROSEMARIE PLACE	257-555-0115
	      13753	A		AW00013753	02.03.1958	S	F	REBECCA12@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	9505 HARGATE COURT	805-555-0178
	      13754	A		AW00013754	27.07.1958	S	F	PAIGE28@ADVENTURE-WORKS.COM	  80.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	3208 TWO BAY ROAD	248-555-0136
	      13755	A		AW00013755	19.01.1959	S	M	LUKE35@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	3693 CONCORD CT.	533-555-0118
	      13756	A		AW00013756	01.06.1959	S	F	KAYLEE40@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	8356 ROYAL ANN LANE	631-555-0170
	      13757	A		AW00013757	06.07.1959	S	F	JORDYN19@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	P.O. BOX 9178	168-555-0121
	      13758	A		AW00013758	22.05.1959	S	F	ALEXANDRIA36@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	8346 NIAGARA COURT	982-555-0174
	      13759	A		AW00013759	17.07.1959	M	M	JACKSON44@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	9941 STONEHEDGE DR.	685-555-0117
	      13760	A		AW00013760	24.06.1959	M	M	BRIAN20@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00000	           0	4867 ROSEBUCK WAY	346-555-0118
	      13761	A		AW00013761	02.09.1959	M	M	LOGAN11@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	1094 LOVERIDGE CIRCLE	499-555-0163
	      13762	A		AW00013762	21.02.1959	M	M	GAVIN9@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	7150 SAN MIGUEL CIRCLE	259-555-0181
	      13763	A		AW00013763	11.10.1959	S	F	STEPHANIE15@ADVENTURE-WORKS.COM	  60.000,000	GRADUATE DEGREE	SKILLED MANUAL	        00001	           0	1242 FRAME LANE	578-555-0111
	      13764	A		AW00013764	17.06.1968	M	F	STEPHANIE55@ADVENTURE-WORKS.COM	  20.000,000	PARTIAL COLLEGE	MANUAL	        00001	           1	42, IMPASSE STE-MADELEINE	1 (11) 500 555-0124
	      13765	A		AW00013765	11.08.1968	M	M	JAIME26@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	CLERICAL	        00001	           0	5170 ISABEL DR	1 (11) 500 555-0113
	      13766	A		AW00013766	04.02.1968	M	M	JOE37@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	CLERICAL	        00001	           0	14, RUE LAURISTON	1 (11) 500 555-0120
	      13767	A		AW00013767	16.11.1968	S	F	LINDA20@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	CLERICAL	        00000	           0	POTSDAMER STRA?E 757	1 (11) 500 555-0174
	      13768	A		AW00013768	20.04.1968	M	M	ROSS27@ADVENTURE-WORKS.COM	  40.000,000	GRADUATE DEGREE	CLERICAL	        00001	           0	10, RUE ROYALE	1 (11) 500 555-0181
	      13769	A		AW00013769	02.09.1968	M	M	BRENDAN6@ADVENTURE-WORKS.COM	  40.000,000	GRADUATE DEGREE	CLERICAL	        00001	           0	401, AVENUE REILLE	1 (11) 500 555-0119
	      13770	A		AW00013770	26.07.1968	M	M	GERALD14@ADVENTURE-WORKS.COM	  40.000,000	GRADUATE DEGREE	CLERICAL	        00001	           0	ZOLLHOF 1866	1 (11) 500 555-0189
	      13771	A		AW00013771	24.12.1968	S	M	VICTOR8@ADVENTURE-WORKS.COM	  40.000,000	GRADUATE DEGREE	CLERICAL	        00001	           0	PARKSTR 42	1 (11) 500 555-0134
	      13772	A		AW00013772	24.10.1968	M	F	MICHELE34@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	CLERICAL	        00001	           0	6939 HILLTOP DR.	1 (11) 500 555-0137
	      13773	A		AW00013773	22.04.1967	M	F	DANA8@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00000	           1	1, PLACE DE BRAZAVILLE	1 (11) 500 555-0119
	      13774	A		AW00013774	11.07.1967	S	M	STEVE20@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00001	           1	RYKESTR 8295	1 (11) 500 555-0114
	      13775	A		AW00013775	16.03.1967	S	F	PATRICIA16@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00001	           0	POSTFACH 8 44 99	1 (11) 500 555-0112
	      13776	A		AW00013776	13.02.1926	M	M	MIGUEL36@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	CLERICAL	        00001	           1	4312 CAMBRIDGE DRIVE	1 (11) 500 555-0113
	      13777	A		AW00013777	13.11.1967	M	M	MANUEL19@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	CLERICAL	        00001	           0	8887 ENTRADA CIRCLE	1 (11) 500 555-0149
	      13778	A		AW00013778	12.11.1967	M	M	ROGER10@ADVENTURE-WORKS.COM	  30.000,000	BACHELORS	CLERICAL	        00001	           0	KURF?RSTENSTR 50	1 (11) 500 555-0157
	      13779	A		AW00013779	10.11.1966	S	M	MANUEL13@ADVENTURE-WORKS.COM	  10.000,000	PARTIAL HIGH SCHOOL	MANUAL	        00001	           1	33, AVENUE DU PR?SIDENT-KENNEDY	1 (11) 500 555-0163
	      13780	A		AW00013780	20.07.1966	M	F	MONICA20@ADVENTURE-WORKS.COM	  20.000,000	HIGH SCHOOL	MANUAL	        00001	           1	6, IMPASSE NOTRE-DAME	1 (11) 500 555-0191
	      13781	A		AW00013781	25.03.1967	M	F	DOMINIQUE3@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	CLERICAL	        00001	           0	11, QUAI DE L? ITON	1 (11) 500 555-0189
	      13782	A		AW00013782	21.07.1967	M	F	KELLI12@ADVENTURE-WORKS.COM	  40.000,000	BACHELORS	CLERICAL	        00001	           0	CURIEWEG 99	1 (11) 500 555-0129
